PathId,OrderNumber,FromNode,ToNode,Length,AB_Wh,BA_Wh
13,21,213,214,11964,11964,11964
13,22,214,216,72,72,72
13,23,216,215,5791,5791,5791
13,24,215,81,19188,19188,19188
13,25,81,50,66450,66450,66450
14,1,1,70,26012,26012,26012
14,2,70,298,16558,16558,16558
14,3,298,71,50351,50351,50351
14,4,71,41,21602,21602,21602
14,5,41,45,13550,13550,13550
14,6,45,85,5780,5780,5780
14,7,85,84,13617,13617,13617
14,8,84,142,24630,24630,24630
14,9,142,155,18718,18718,18718
14,10,155,154,7768,7768,7768
14,11,154,160,48527,48527,48527
14,12,160,116,38887,38887,38887
14,13,116,163,1610,1610,1610
14,14,163,113,41907,41907,41907
14,15,113,92,25224,25224,25224
14,16,92,106,19559,19559,19559
14,17,106,109,20005,20005,20005
14,18,109,206,7138,7138,7138
14,19,206,205,1135,1135,1135
14,20,205,213,44562,44562,44562
14,21,213,214,11964,11964,11964
14,22,214,216,72,72,72
14,23,216,215,5791,5791,5791
14,24,215,62,62695,62695,62695
14,25,62,53,3154,3154,3154
15,1,1,70,26012,26012,26012
15,2,70,298,16558,16558,16558
15,3,298,71,50351,50351,50351
15,4,71,41,21602,21602,21602
15,5,41,45,13550,13550,13550
15,6,45,85,5780,5780,5780
15,7,85,84,13617,13617,13617
15,8,84,142,24630,24630,24630
15,9,142,155,18718,18718,18718
15,10,155,154,7768,7768,7768
15,11,154,160,48527,48527,48527
15,12,160,116,38887,38887,38887
15,13,116,163,1610,1610,1610
15,14,163,162,5196,5196,5196
15,15,162,174,26069,26069,26069
15,16,174,172,6041,6041,6041
15,17,172,173,973,973,973
15,18,173,75,13852,13852,13852
15,19,75,74,23804,23804,23804
15,20,74,67,12953,12953,12953
15,21,67,89,14278,14278,14278
15,22,89,152,24286,24286,24286
15,23,152,54,59366,59366,59366
16,1,1,70,26012,26012,26012
16,2,70,298,16558,16558,16558
16,3,298,71,50351,50351,50351
16,4,71,41,21602,21602,21602
16,5,41,45,13550,13550,13550
16,6,45,85,5780,5780,5780
16,7,85,84,13617,13617,13617
16,8,84,55,25187,25187,25187
17,1,1,70,26012,26012,26012
17,2,70,298,16558,16558,16558
17,3,298,71,50351,50351,50351
17,4,71,41,21602,21602,21602
17,5,41,45,13550,13550,13550
17,6,45,85,5780,5780,5780
17,7,85,84,13617,13617,13617
17,8,84,142,24630,24630,24630
17,9,142,155,18718,18718,18718
17,10,155,154,7768,7768,7768
17,11,154,160,48527,48527,48527
17,12,160,116,38887,38887,38887
17,13,116,163,1610,1610,1610
17,14,163,162,5196,5196,5196
17,15,162,174,26069,26069,26069
17,16,174,172,6041,6041,6041
17,17,172,181,19792,19792,19792
17,18,181,198,5013,5013,5013
17,19,198,182,4315,4315,4315
17,20,182,187,2034,2034,2034
17,21,187,192,10053,10053,10053
17,22,192,193,4157,4157,4157
17,23,193,194,2731,2731,2731
17,24,194,199,135,135,135
17,25,199,201,7367,7367,7367
17,26,201,200,1560,1560,1560
17,27,200,59,7615,7615,7615
18,1,1,70,26012,26012,26012
18,2,70,298,16558,16558,16558
18,3,298,71,50351,50351,50351
18,4,71,41,21602,21602,21602
18,5,41,45,13550,13550,13550
18,6,45,85,5780,5780,5780
18,7,85,84,13617,13617,13617
18,8,84,142,24630,24630,24630
18,9,142,155,18718,18718,18718
18,10,155,154,7768,7768,7768
18,11,154,160,48527,48527,48527
18,12,160,116,38887,38887,38887
18,13,116,163,1610,1610,1610
18,14,163,162,5196,5196,5196
18,15,162,112,33673,33673,33673
18,16,112,91,34095,34095,34095
18,17,91,88,21238,21238,21238
18,18,88,60,25822,25822,25822
18,19,60,90,1445,1445,1445
18,20,90,63,45546,45546,45546
19,1,1,70,26012,26012,26012
19,2,70,298,16558,16558,16558
19,3,298,71,50351,50351,50351
19,4,71,41,21602,21602,21602
19,5,41,45,13550,13550,13550
19,6,45,85,5780,5780,5780
19,7,85,84,13617,13617,13617
19,8,84,142,24630,24630,24630
19,9,142,155,18718,18718,18718
19,10,155,154,7768,7768,7768
19,11,154,160,48527,48527,48527
19,12,160,116,38887,38887,38887
19,13,116,163,1610,1610,1610
19,14,163,162,5196,5196,5196
19,15,162,174,26069,26069,26069
19,16,174,172,6041,6041,6041
19,17,172,181,19792,19792,19792
19,18,181,198,5013,5013,5013
19,19,198,182,4315,4315,4315
19,20,182,187,2034,2034,2034
19,21,187,192,10053,10053,10053
19,22,192,193,4157,4157,4157
19,23,193,194,2731,2731,2731
19,24,194,199,135,135,135
19,25,199,201,7367,7367,7367
19,26,201,151,13001,13001,13001
19,27,151,210,75436,75436,75436
19,28,210,211,3345,3345,3345
19,29,211,27,53007,53007,53007
19,30,27,28,5050,5050,5050
19,31,28,65,54990,54990,54990
19,32,65,64,12437,12437,12437
20,1,1,293,26538,26538,26538
20,2,293,290,26792,26792,26792
20,3,290,6,25999,25999,25999
20,4,6,286,2710,2710,2710
20,5,286,285,56008,56008,56008
20,6,285,283,44562,44562,44562
20,7,283,297,44457,44457,44457
20,8,297,68,44918,44918,44918
20,9,68,8,26740,26740,26740
20,10,8,69,13539,13539,13539
21,1,1,70,26012,26012,26012
21,2,70,298,16558,16558,16558
21,3,298,71,50351,50351,50351
22,1,1,70,26012,26012,26012
22,2,70,298,16558,16558,16558
22,3,298,71,50351,50351,50351
22,4,71,41,21602,21602,21602
22,5,41,45,13550,13550,13550
22,6,45,85,5780,5780,5780
22,7,85,84,13617,13617,13617
22,8,84,142,24630,24630,24630
22,9,142,155,18718,18718,18718
22,10,155,154,7768,7768,7768
22,11,154,160,48527,48527,48527
22,12,160,116,38887,38887,38887
22,13,116,163,1610,1610,1610
22,14,163,113,41907,41907,41907
22,15,113,92,25224,25224,25224
22,16,92,106,19559,19559,19559
22,17,106,109,20005,20005,20005
22,18,109,206,7138,7138,7138
22,19,206,205,1135,1135,1135
22,20,205,213,44562,44562,44562
22,21,213,80,6519,6519,6519
22,22,80,79,10275,10275,10275
23,1,1,70,26012,26012,26012
23,2,70,298,16558,16558,16558
23,3,298,71,50351,50351,50351
23,4,71,41,21602,21602,21602
23,5,41,33,8112,8112,8112
23,6,33,13,54504,54504,54504
23,7,13,72,14279,14279,14279
23,8,72,34,20651,20651,20651
23,9,34,30,6240,6240,6240
23,10,30,82,2326,2326,2326
24,1,1,70,26012,26012,26012
24,2,70,298,16558,16558,16558
24,3,298,71,50351,50351,50351
24,4,71,41,21602,21602,21602
24,5,41,45,13550,13550,13550
24,6,45,85,5780,5780,5780
24,7,85,84,13617,13617,13617
24,8,84,142,24630,24630,24630
24,9,142,155,18718,18718,18718
24,10,155,154,7768,7768,7768
24,11,154,160,48527,48527,48527
24,12,160,116,38887,38887,38887
24,13,116,163,1610,1610,1610
24,14,163,162,5196,5196,5196
24,15,162,112,33673,33673,33673
24,16,112,91,34095,34095,34095
24,17,91,88,21238,21238,21238
25,1,1,70,26012,26012,26012
25,2,70,298,16558,16558,16558
25,3,298,71,50351,50351,50351
25,4,71,41,21602,21602,21602
25,5,41,33,8112,8112,8112
25,6,33,13,54504,54504,54504
25,7,13,72,14279,14279,14279
25,8,72,34,20651,20651,20651
25,9,34,30,6240,6240,6240
25,10,30,82,2326,2326,2326
25,11,82,42,22776,22776,22776
25,12,42,124,31507,31507,31507
25,13,124,130,10676,10676,10676
25,14,130,144,9162,9162,9162
25,15,144,143,11534,11534,11534
25,16,143,299,13844,13844,13844
25,17,299,128,9346,9346,9346
25,18,128,133,16322,16322,16322
25,19,133,132,9099,9099,9099
25,20,132,93,11930,11930,11930
26,1,1,70,26012,26012,26012
26,2,70,298,16558,16558,16558
26,3,298,71,50351,50351,50351
26,4,71,41,21602,21602,21602
26,5,41,45,13550,13550,13550
26,6,45,85,5780,5780,5780
26,7,85,84,13617,13617,13617
26,8,84,142,24630,24630,24630
26,9,142,155,18718,18718,18718
26,10,155,154,7768,7768,7768
26,11,154,160,48527,48527,48527
26,12,160,116,38887,38887,38887
26,13,116,163,1610,1610,1610
26,14,163,113,41907,41907,41907
26,15,113,92,25224,25224,25224
26,16,92,98,17706,17706,17706
27,1,1,70,26012,26012,26012
27,2,70,298,16558,16558,16558
27,3,298,71,50351,50351,50351
27,4,71,41,21602,21602,21602
27,5,41,45,13550,13550,13550
27,6,45,85,5780,5780,5780
27,7,85,84,13617,13617,13617
27,8,84,142,24630,24630,24630
27,9,142,155,18718,18718,18718
27,10,155,154,7768,7768,7768
27,11,154,160,48527,48527,48527
27,12,160,116,38887,38887,38887
27,13,116,163,1610,1610,1610
27,14,163,113,41907,41907,41907
27,15,113,92,25224,25224,25224
27,16,92,106,19559,19559,19559
27,17,106,105,9977,9977,9977
27,18,105,103,11223,11223,11223
27,19,103,102,9078,9078,9078
27,20,102,101,20547,20547,20547
28,1,1,70,26012,26012,26012
28,2,70,298,16558,16558,16558
28,3,298,71,50351,50351,50351
28,4,71,41,21602,21602,21602
28,5,41,45,13550,13550,13550
28,6,45,85,5780,5780,5780
28,7,85,84,13617,13617,13617
28,8,84,142,24630,24630,24630
28,9,142,155,18718,18718,18718
28,10,155,154,7768,7768,7768
28,11,154,160,48527,48527,48527
28,12,160,116,38887,38887,38887
28,13,116,163,1610,1610,1610
28,14,163,113,41907,41907,41907
28,15,113,92,25224,25224,25224
28,16,92,106,19559,19559,19559
28,17,106,105,9977,9977,9977
28,18,105,103,11223,11223,11223
28,19,103,107,3622,3622,3622
29,1,1,70,26012,26012,26012
29,2,70,298,16558,16558,16558
29,3,298,71,50351,50351,50351
29,4,71,41,21602,21602,21602
29,5,41,45,13550,13550,13550
29,6,45,85,5780,5780,5780
29,7,85,84,13617,13617,13617
29,8,84,142,24630,24630,24630
29,9,142,155,18718,18718,18718
29,10,155,154,7768,7768,7768
29,11,154,160,48527,48527,48527
29,12,160,116,38887,38887,38887
29,13,116,163,1610,1610,1610
29,14,163,113,41907,41907,41907
29,15,113,92,25224,25224,25224
29,16,92,106,19559,19559,19559
29,17,106,109,20005,20005,20005
30,1,1,70,26012,26012,26012
30,2,70,298,16558,16558,16558
30,3,298,71,50351,50351,50351
30,4,71,41,21602,21602,21602
30,5,41,33,8112,8112,8112
30,6,33,14,7215,7215,7215
30,7,14,56,34466,34466,34466
30,8,56,15,1940,1940,1940
30,9,15,110,22693,22693,22693
31,1,1,70,26012,26012,26012
31,2,70,298,16558,16558,16558
31,3,298,71,50351,50351,50351
31,4,71,41,21602,21602,21602
31,5,41,45,13550,13550,13550
31,6,45,85,5780,5780,5780
31,7,85,84,13617,13617,13617
31,8,84,142,24630,24630,24630
31,9,142,155,18718,18718,18718
31,10,155,154,7768,7768,7768
31,11,154,160,48527,48527,48527
31,12,160,116,38887,38887,38887
31,13,116,117,27372,27372,27372
32,1,1,70,26012,26012,26012
32,2,70,298,16558,16558,16558
32,3,298,71,50351,50351,50351
32,4,71,41,21602,21602,21602
32,5,41,45,13550,13550,13550
32,6,45,85,5780,5780,5780
32,7,85,84,13617,13617,13617
32,8,84,142,24630,24630,24630
32,9,142,155,18718,18718,18718
32,10,155,118,7736,7736,7736
33,1,1,70,26012,26012,26012
33,2,70,298,16558,16558,16558
33,3,298,71,50351,50351,50351
33,4,71,41,21602,21602,21602
33,5,41,33,8112,8112,8112
33,6,33,13,54504,54504,54504
33,7,13,72,14279,14279,14279
33,8,72,34,20651,20651,20651
33,9,34,30,6240,6240,6240
33,10,30,82,2326,2326,2326
33,11,82,42,22776,22776,22776
33,12,42,124,31507,31507,31507
34,1,1,70,26012,26012,26012
34,2,70,298,16558,16558,16558
34,3,298,71,50351,50351,50351
34,4,71,41,21602,21602,21602
34,5,41,45,13550,13550,13550
34,6,45,85,5780,5780,5780
34,7,85,84,13617,13617,13617
34,8,84,142,24630,24630,24630
34,9,142,155,18718,18718,18718
34,10,155,154,7768,7768,7768
34,11,154,160,48527,48527,48527
34,12,160,116,38887,38887,38887
34,13,116,163,1610,1610,1610
34,14,163,162,5196,5196,5196
34,15,162,174,26069,26069,26069
34,16,174,172,6041,6041,6041
34,17,172,181,19792,19792,19792
34,18,181,198,5013,5013,5013
34,19,198,182,4315,4315,4315
34,20,182,145,18142,18142,18142
35,1,1,2,7638,7638,7638
35,2,2,46,47004,47004,47004
35,3,46,95,1660,1660,1660
35,4,95,94,43845,43845,43845
35,5,94,24,48440,48440,48440
35,6,24,147,12396,12396,12396
36,1,1,70,26012,26012,26012
36,2,70,298,16558,16558,16558
36,3,298,71,50351,50351,50351
36,4,71,41,21602,21602,21602
36,5,41,45,13550,13550,13550
36,6,45,85,5780,5780,5780
36,7,85,84,13617,13617,13617
36,8,84,142,24630,24630,24630
36,9,142,155,18718,18718,18718
36,10,155,154,7768,7768,7768
36,11,154,160,48527,48527,48527
36,12,160,116,38887,38887,38887
36,13,116,163,1610,1610,1610
36,14,163,162,5196,5196,5196
36,15,162,174,26069,26069,26069
36,16,174,172,6041,6041,6041
36,17,172,181,19792,19792,19792
36,18,181,198,5013,5013,5013
36,19,198,182,4315,4315,4315
36,20,182,187,2034,2034,2034
36,21,187,192,10053,10053,10053
36,22,192,193,4157,4157,4157
36,23,193,190,1964,1964,1964
36,24,190,202,16806,16806,16806
36,25,202,189,24600,24600,24600
36,26,189,196,10080,10080,10080
36,27,196,204,7484,7484,7484
36,28,204,203,6320,6320,6320
36,29,203,149,33517,33517,33517
37,1,1,70,26012,26012,26012
37,2,70,298,16558,16558,16558
37,3,298,71,50351,50351,50351
37,4,71,41,21602,21602,21602
37,5,41,45,13550,13550,13550
37,6,45,85,5780,5780,5780
37,7,85,84,13617,13617,13617
37,8,84,142,24630,24630,24630
37,9,142,155,18718,18718,18718
37,10,155,154,7768,7768,7768
37,11,154,160,48527,48527,48527
37,12,160,116,38887,38887,38887
37,13,116,163,1610,1610,1610
37,14,163,162,5196,5196,5196
37,15,162,174,26069,26069,26069
37,16,174,172,6041,6041,6041
37,17,172,181,19792,19792,19792
37,18,181,198,5013,5013,5013
37,19,198,182,4315,4315,4315
37,20,182,187,2034,2034,2034
37,21,187,192,10053,10053,10053
37,22,192,193,4157,4157,4157
37,23,193,190,1964,1964,1964
37,24,190,202,16806,16806,16806
37,25,202,189,24600,24600,24600
37,26,189,196,10080,10080,10080
37,27,196,204,7484,7484,7484
37,28,204,203,6320,6320,6320
37,29,203,149,33517,33517,33517
37,30,149,153,54334,54334,54334
38,1,1,70,26012,26012,26012
38,2,70,298,16558,16558,16558
38,3,298,71,50351,50351,50351
38,4,71,41,21602,21602,21602
38,5,41,45,13550,13550,13550
38,6,45,85,5780,5780,5780
38,7,85,84,13617,13617,13617
38,8,84,142,24630,24630,24630
38,9,142,155,18718,18718,18718
38,10,155,154,7768,7768,7768
38,11,154,159,26404,26404,26404
38,12,159,158,844,844,844
39,1,1,70,26012,26012,26012
39,2,70,298,16558,16558,16558
39,3,298,71,50351,50351,50351
39,4,71,41,21602,21602,21602
39,5,41,45,13550,13550,13550
39,6,45,85,5780,5780,5780
39,7,85,84,13617,13617,13617
39,8,84,142,24630,24630,24630
39,9,142,155,18718,18718,18718
39,10,155,154,7768,7768,7768
39,11,154,160,48527,48527,48527
39,12,160,161,4517,4517,4517
40,1,1,70,26012,26012,26012
40,2,70,298,16558,16558,16558
40,3,298,71,50351,50351,50351
40,4,71,41,21602,21602,21602
40,5,41,45,13550,13550,13550
40,6,45,85,5780,5780,5780
40,7,85,84,13617,13617,13617
40,8,84,142,24630,24630,24630
40,9,142,155,18718,18718,18718
40,10,155,154,7768,7768,7768
40,11,154,160,48527,48527,48527
40,12,160,116,38887,38887,38887
40,13,116,163,1610,1610,1610
40,14,163,162,5196,5196,5196
41,1,1,70,26012,26012,26012
41,2,70,298,16558,16558,16558
41,3,298,71,50351,50351,50351
41,4,71,41,21602,21602,21602
41,5,41,45,13550,13550,13550
41,6,45,85,5780,5780,5780
41,7,85,84,13617,13617,13617
41,8,84,142,24630,24630,24630
41,9,142,155,18718,18718,18718
41,10,155,154,7768,7768,7768
41,11,154,160,48527,48527,48527
41,12,160,116,38887,38887,38887
41,13,116,163,1610,1610,1610
41,14,163,162,5196,5196,5196
41,15,162,174,26069,26069,26069
41,16,174,172,6041,6041,6041
41,17,172,181,19792,19792,19792
41,18,181,198,5013,5013,5013
41,19,198,182,4315,4315,4315
41,20,182,187,2034,2034,2034
41,21,187,185,13823,13823,13823
41,22,185,183,1380,1380,1380
41,23,183,179,12422,12422,12422
41,24,179,180,1062,1062,1062
41,25,180,168,15257,15257,15257
41,26,168,169,10507,10507,10507
42,1,1,70,26012,26012,26012
42,2,70,298,16558,16558,16558
42,3,298,71,50351,50351,50351
42,4,71,41,21602,21602,21602
42,5,41,45,13550,13550,13550
42,6,45,85,5780,5780,5780
42,7,85,84,13617,13617,13617
42,8,84,142,24630,24630,24630
42,9,142,155,18718,18718,18718
42,10,155,154,7768,7768,7768
42,11,154,160,48527,48527,48527
42,12,160,116,38887,38887,38887
42,13,116,163,1610,1610,1610
42,14,163,113,41907,41907,41907
42,15,113,175,15537,15537,15537
42,16,175,176,1657,1657,1657
43,1,1,70,26012,26012,26012
43,2,70,298,16558,16558,16558
43,3,298,71,50351,50351,50351
43,4,71,41,21602,21602,21602
43,5,41,45,13550,13550,13550
43,6,45,85,5780,5780,5780
43,7,85,84,13617,13617,13617
43,8,84,142,24630,24630,24630
43,9,142,155,18718,18718,18718
43,10,155,154,7768,7768,7768
43,11,154,160,48527,48527,48527
43,12,160,116,38887,38887,38887
43,13,116,163,1610,1610,1610
43,14,163,162,5196,5196,5196
43,15,162,174,26069,26069,26069
43,16,174,172,6041,6041,6041
43,17,172,181,19792,19792,19792
43,18,181,198,5013,5013,5013
43,19,198,182,4315,4315,4315
43,20,182,187,2034,2034,2034
43,21,187,185,13823,13823,13823
43,22,185,183,1380,1380,1380
44,1,1,70,26012,26012,26012
44,2,70,298,16558,16558,16558
44,3,298,71,50351,50351,50351
44,4,71,41,21602,21602,21602
44,5,41,45,13550,13550,13550
44,6,45,85,5780,5780,5780
44,7,85,84,13617,13617,13617
44,8,84,142,24630,24630,24630
44,9,142,155,18718,18718,18718
44,10,155,154,7768,7768,7768
44,11,154,160,48527,48527,48527
44,12,160,116,38887,38887,38887
44,13,116,163,1610,1610,1610
44,14,163,162,5196,5196,5196
44,15,162,174,26069,26069,26069
44,16,174,172,6041,6041,6041
44,17,172,181,19792,19792,19792
44,18,181,198,5013,5013,5013
44,19,198,182,4315,4315,4315
44,20,182,187,2034,2034,2034
44,21,187,192,10053,10053,10053
44,22,192,191,4247,4247,4247
44,23,191,197,8990,8990,8990
45,1,1,70,26012,26012,26012
45,2,70,298,16558,16558,16558
45,3,298,71,50351,50351,50351
45,4,71,41,21602,21602,21602
45,5,41,45,13550,13550,13550
45,6,45,85,5780,5780,5780
45,7,85,84,13617,13617,13617
45,8,84,142,24630,24630,24630
45,9,142,155,18718,18718,18718
45,10,155,154,7768,7768,7768
45,11,154,160,48527,48527,48527
45,12,160,116,38887,38887,38887
45,13,116,163,1610,1610,1610
45,14,163,162,5196,5196,5196
45,15,162,174,26069,26069,26069
45,16,174,172,6041,6041,6041
45,17,172,181,19792,19792,19792
45,18,181,198,5013,5013,5013
45,19,198,182,4315,4315,4315
45,20,182,187,2034,2034,2034
45,21,187,192,10053,10053,10053
45,22,192,193,4157,4157,4157
45,23,193,190,1964,1964,1964
45,24,190,202,16806,16806,16806
45,25,202,189,24600,24600,24600
45,26,189,196,10080,10080,10080
45,27,196,204,7484,7484,7484
45,28,204,203,6320,6320,6320
46,1,1,70,26012,26012,26012
46,2,70,298,16558,16558,16558
46,3,298,71,50351,50351,50351
46,4,71,41,21602,21602,21602
46,5,41,45,13550,13550,13550
46,6,45,85,5780,5780,5780
46,7,85,84,13617,13617,13617
46,8,84,142,24630,24630,24630
46,9,142,155,18718,18718,18718
46,10,155,154,7768,7768,7768
46,11,154,160,48527,48527,48527
46,12,160,116,38887,38887,38887
46,13,116,163,1610,1610,1610
46,14,163,113,41907,41907,41907
46,15,113,92,25224,25224,25224
46,16,92,106,19559,19559,19559
46,17,106,105,9977,9977,9977
46,18,105,103,11223,11223,11223
46,19,103,107,3622,3622,3622
46,20,107,104,8148,8148,8148
46,21,104,209,26894,26894,26894
47,1,1,70,26012,26012,26012
47,2,70,298,16558,16558,16558
47,3,298,71,50351,50351,50351
47,4,71,41,21602,21602,21602
47,5,41,45,13550,13550,13550
47,6,45,85,5780,5780,5780
47,7,85,84,13617,13617,13617
47,8,84,142,24630,24630,24630
47,9,142,155,18718,18718,18718
47,10,155,154,7768,7768,7768
47,11,154,160,48527,48527,48527
47,12,160,116,38887,38887,38887
47,13,116,163,1610,1610,1610
47,14,163,162,5196,5196,5196
47,15,162,174,26069,26069,26069
47,16,174,172,6041,6041,6041
47,17,172,181,19792,19792,19792
47,18,181,198,5013,5013,5013
47,19,198,182,4315,4315,4315
47,20,182,187,2034,2034,2034
47,21,187,192,10053,10053,10053
47,22,192,193,4157,4157,4157
47,23,193,194,2731,2731,2731
47,24,194,199,135,135,135
47,25,199,201,7367,7367,7367
47,26,201,151,13001,13001,13001
47,27,151,210,75436,75436,75436
47,28,210,212,4151,4151,4151
47,29,212,219,64249,64249,64249
47,30,219,217,1405,1405,1405
48,1,1,70,26012,26012,26012
48,2,70,298,16558,16558,16558
48,3,298,71,50351,50351,50351
48,4,71,41,21602,21602,21602
48,5,41,45,13550,13550,13550
48,6,45,85,5780,5780,5780
48,7,85,84,13617,13617,13617
48,8,84,142,24630,24630,24630
48,9,142,155,18718,18718,18718
48,10,155,154,7768,7768,7768
48,11,154,160,48527,48527,48527
48,12,160,116,38887,38887,38887
48,13,116,163,1610,1610,1610
48,14,163,162,5196,5196,5196
48,15,162,174,26069,26069,26069
48,16,174,172,6041,6041,6041
48,17,172,181,19792,19792,19792
48,18,181,198,5013,5013,5013
48,19,198,182,4315,4315,4315
48,20,182,187,2034,2034,2034
48,21,187,192,10053,10053,10053
48,22,192,193,4157,4157,4157
48,23,193,194,2731,2731,2731
48,24,194,199,135,135,135
48,25,199,201,7367,7367,7367
48,26,201,151,13001,13001,13001
48,27,151,210,75436,75436,75436
48,28,210,212,4151,4151,4151
48,29,212,219,64249,64249,64249
48,30,219,218,1985,1985,1985
48,31,218,223,27895,27895,27895
49,1,1,70,26012,26012,26012
49,2,70,298,16558,16558,16558
49,3,298,71,50351,50351,50351
49,4,71,41,21602,21602,21602
49,5,41,45,13550,13550,13550
49,6,45,85,5780,5780,5780
49,7,85,84,13617,13617,13617
49,8,84,142,24630,24630,24630
49,9,142,155,18718,18718,18718
49,10,155,154,7768,7768,7768
49,11,154,160,48527,48527,48527
49,12,160,116,38887,38887,38887
49,13,116,163,1610,1610,1610
49,14,163,162,5196,5196,5196
49,15,162,174,26069,26069,26069
49,16,174,172,6041,6041,6041
49,17,172,181,19792,19792,19792
49,18,181,198,5013,5013,5013
49,19,198,182,4315,4315,4315
49,20,182,187,2034,2034,2034
49,21,187,192,10053,10053,10053
49,22,192,193,4157,4157,4157
49,23,193,194,2731,2731,2731
49,24,194,199,135,135,135
49,25,199,201,7367,7367,7367
49,26,201,151,13001,13001,13001
49,27,151,210,75436,75436,75436
49,28,210,212,4151,4151,4151
49,29,212,219,64249,64249,64249
49,30,219,218,1985,1985,1985
49,31,218,223,27895,27895,27895
49,32,223,226,4622,4622,4622
49,33,226,225,2732,2732,2732
49,34,225,232,34318,34318,34318
50,1,1,70,26012,26012,26012
